Species_No,Petal_width,Comp2,Petal_length,Comp1,Sepal_width,Sepal_length,Comp2,Comp3,Species_name,Obs
1,0.2,0.14,1.4,1.6,3.5,5.1,5.1,2.28, Setosa,James
1,0.2,0.14,1.4,1.6,3,4.9,4.9,2.213333333, Setosa,James
1,0.2,0.14,1.3,1.5,3.2,4.7,4.7,2.113333333, Setosa,James
1,0.2,0.14,1.5,1.7,3.1,4.6,4.6,2.146666667, Setosa,James
1,0.2,0.14,1.4,1.6,3.6,5,5,2.246666667, Setosa,Peter
1,0.4,0.28,1.7,1.9,3.9,5.4,5.4,2.526666667, Setosa,Peter
1,0.3,0.21,1.4,1.6,3.4,4.6,4.6,2.136666667, Setosa,Peter
1,0.2,0.14,1.5,1.7,3.4,5,5,2.28, Setosa,Peter
1,0.2,0.14,1.4,1.6,2.9,4.4,4.4,2.046666667, Setosa,Peter
1,5,3.5,3,3.2,8.7,0.1,0.1,2.266666667, Setosa,Peter
1,0.1,0.07,1.5,1.7,3.1,4.9,4.9,2.223333333, Setosa,James
1,0.2,0.14,1.5,1.7,3.7,5.4,5.4,2.413333333, Setosa,James
1,0.2,1.2,1.6,1.8,3.4,4.8,4.8,2.6, Setosa,James
1,0.1,0.07,1.4,1.6,3,4.8,4.8,2.156666667, Setosa,James
1,0.1,0.07,1.1,1.3,3,4.3,4.3,1.89, Setosa,James
1,0.2,0.14,1.2,1.4,4,5.8,5.8,2.446666667, Setosa,James
1,0.4,0.28,1.5,1.7,4.4,5.7,5.7,2.56, Setosa,James
1,0.4,0.28,1.3,1.5,3.9,5.4,5.4,2.393333333, Setosa,Jhon
1,0.3,0.21,1.4,1.6,3.5,5.1,5.1,2.303333333, Setosa,Jhon
1,0.3,0.21,1.7,1.9,3.8,5.7,5.7,2.603333333, Setosa,Jhon
1,0.3,0.21,1.5,1.7,3.8,5.1,5.1,2.336666667, Setosa,Jhon
1,0.2,0.14,1.7,1.9,3.4,5.4,5.4,2.48, Setosa,Jhon
1,0.4,0.28,1.5,1.7,3.7,5.1,5.1,2.36, Setosa,Jhon
1,0.2,0.14,1,1.2,3.6,4.6,4.6,1.98, Setosa,Jhon
1,0.5,0.35,1.7,1.9,3.3,5.1,5.1,2.45, Setosa,Jhon
1,0.2,0.14,1.9,2.1,3.4,4.8,4.8,2.346666667, Setosa,Jhon
1,0.2,0.14,1.6,1.8,3,5,5,2.313333333, Setosa,Jhon
1,0.4,0.28,1.6,1.8,3.4,5,5,2.36, Setosa,Jhon
1,0.2,0.14,1.5,1.7,3.5,5.2,5.2,2.346666667, Setosa,Jhon
1,0.2,0.14,1.4,1.6,3.4,5.2,5.2,2.313333333, Setosa,Jhon
1,0.2,0.14,1.6,1.8,3.2,4.7,4.7,2.213333333, Setosa,Jhon
1,0.2,0.14,1.6,1.8,3.1,4.8,4.8,2.246666667, Setosa,Jhon
1,0.4,0.28,1.5,1.7,3.4,5.4,5.4,2.46, Setosa,Jhon
1,0.1,0.07,1.5,1.7,4.1,5.2,5.2,2.323333333, Setosa,Jhon
1,0.2,0.14,1.4,1.6,4.2,5.5,5.5,2.413333333, Setosa,Jhon
1,0.2,0.14,1.5,1.7,3.1,4.9,4.9,2.246666667, Setosa,Jhon
1,0.2,0.14,1.2,1.4,3.2,5,5,2.18, Setosa,Jhon
1,0.2,0.14,1.3,1.5,3.5,5.5,5.5,2.38, Setosa,Jhon
1,0.1,0.07,1.4,1.6,3.6,4.9,4.9,2.19, Setosa,Jhon
1,0.2,0.14,1.3,1.5,3,4.4,4.4,2.013333333, Setosa,Jhon
1,0.2,0.14,1.5,1.7,3.4,5.1,5.1,2.313333333, Setosa,Jhon
1,0.3,0.21,1.3,1.5,3.5,5,5,2.236666667, Setosa,Jhon
1,0.3,0.21,1.3,1.5,2.3,4.5,4.5,2.07, Setosa,Jhon
1,0.2,0.14,1.3,1.5,3.2,4.4,4.4,2.013333333, Setosa,Jhon
1,0.6,0.42,1.6,1.8,3.5,5,5,2.406666667, Setosa,James
1,0.4,0.28,1.9,2.1,3.8,5.1,5.1,2.493333333, Setosa,James
1,0.3,0.21,1.4,1.6,3,4.8,4.8,2.203333333, Setosa,James
1,0.2,0.14,1.6,1.8,3.8,5.1,5.1,2.346666667, Setosa,James
1,0.2,0.14,1.4,1.6,3.2,4.6,4.6,2.113333333, Setosa,James
1,0.2,0.14,1.5,1.7,3.7,5.3,5.3,2.38, Setosa,James
1,0.2,0.14,1.4,1.6,3.3,5,5,2.246666667, Setosa,James
2,1.4,0.98,4.7,4.9,3.2,7,7,4.293333333, Versicolor,James
2,1.5,1.05,4.5,4.7,3.2,6.4,6.4,4.05, Versicolor,James
2,1.5,1.05,4.9,5.1,3.1,6.9,6.9,4.35, Versicolor,James
2,1.3,0.91,4,4.2,2.3,5.5,5.5,3.536666667, Versicolor,James
2,1.5,1.05,4.6,4.8,2.8,6.5,6.5,4.116666667, Versicolor,James
2,1.3,0.91,4.5,4.7,2.8,5.7,5.7,3.77, Versicolor,James
2,1.6,1.12,4.7,4.9,3.3,6.3,6.3,4.106666667, Versicolor,Jhon
2,1,0.7,3.3,3.5,2.4,4.9,4.9,3.033333333, Versicolor,Jhon
2,1.3,0.91,4.6,4.8,2.9,6.6,6.6,4.103333333, Versicolor,Jhon
2,1.4,0.98,3.9,4.1,2.7,5.2,5.2,3.426666667, Versicolor,Jhon
2,1,0.7,3.5,3.7,2,5,5,3.133333333, Versicolor,Jhon
2,1.5,1.05,4.2,4.4,3,5.9,5.9,3.783333333, Versicolor,Jhon
2,1,0.7,4,4.2,2.2,6,6,3.633333333, Versicolor,Jhon
2,1.4,0.98,4.7,4.9,2.9,6.1,6.1,3.993333333, Versicolor,Jhon
2,1.3,0.91,3.6,3.8,2.9,5.6,5.6,3.436666667, Versicolor,Jhon
2,1.4,0.98,4.4,4.6,3.1,6.7,6.7,4.093333333, Versicolor,Jhon
2,5.6,3.92,5.6,5.8,2.1,10.2,10.2,6.64, Versicolor,Jhon
2,1.5,1.05,4.5,4.7,3,5.6,5.6,3.783333333, Versicolor,Jhon
2,1,0.7,4.1,4.3,2.7,5.8,5.8,3.6, Versicolor,Jhon
2,1.5,1.05,4.5,4.7,2.2,6.2,6.2,3.983333333, Versicolor,Jhon
2,1.1,0.77,3.9,4.1,2.5,5.6,5.6,3.49, Versicolor,Jhon
2,1.8,1.26,4.8,5,3.2,5.9,5.9,4.053333333, Versicolor,Jhon
2,1.3,0.91,4,4.2,2.8,6.1,6.1,3.736666667, Versicolor,Jhon
2,1.5,1.05,4.9,5.1,2.5,6.3,6.3,4.15, Versicolor,Jhon
2,1.2,0.84,4.7,4.9,2.8,6.1,6.1,3.946666667, Versicolor,Jhon
2,1.3,0.91,4.3,4.5,2.9,6.4,6.4,3.936666667, Versicolor,Jhon
2,1.4,0.98,4.4,4.6,3,6.6,6.6,4.06, Versicolor,Jhon
2,1.4,0.98,4.8,5,2.8,6.8,6.8,4.26, Versicolor,Jhon
2,1.7,1.19,5,5.2,3,6.7,6.7,4.363333333, Versicolor,Jhon
2,1.5,1.05,4.5,4.7,2.9,6,6,3.916666667, Versicolor,Jhon
2,1,0.7,3.5,3.7,2.6,5.7,5.7,3.366666667, Versicolor,Jhon
2,0,0,0,0.2,0,0,0,0.066666667, Versicolor,Jhon
2,1.1,0.77,3.8,4,2.4,5.5,5.5,3.423333333, Versicolor,Jhon
2,1,0.7,3.7,3.9,2.4,5.5,5.5,3.366666667, Versicolor,Jhon
2,1.2,0.84,3.9,4.1,2.7,5.8,5.8,3.58, Versicolor,Jhon
2,1.6,1.12,5.1,5.3,2.7,6,6,4.14, Versicolor,Jhon
2,1.5,1.05,4.5,4.7,3,5.4,5.4,3.716666667, Versicolor,Jhon
2,1.6,1.12,4.5,4.7,3.4,6,6,3.94, Versicolor,Jhon
2,1.5,1.05,4.7,4.9,3.1,6.7,6.7,4.216666667, Versicolor,Jhon
2,1.3,0.91,4.4,4.6,2.3,6.3,6.3,3.936666667, Versicolor,Jhon
2,1.3,0.91,4.1,4.3,3,5.6,5.6,3.603333333, Versicolor,Jhon
2,1.3,0.91,4,4.2,2.5,5.5,5.5,3.536666667, Versicolor,Jhon
2,1.2,0.84,4.4,4.6,2.6,5.5,5.5,3.646666667, Versicolor,Jhon
2,1.4,0.98,4.6,4.8,3,6.1,6.1,3.96, Versicolor,Jhon
2,1.2,0.84,4,4.2,2.6,5.8,5.8,3.613333333, Versicolor,Jhon
2,1,0.7,3.3,3.5,2.3,5,5,3.066666667, Versicolor,Jhon
2,1.3,0.91,4.2,4.4,2.7,5.6,5.6,3.636666667, Versicolor,Peter
2,1.2,0.84,4.2,4.4,3,5.7,5.7,3.646666667, Versicolor,Peter
2,1.3,0.91,4.2,4.4,2.9,5.7,5.7,3.67, Versicolor,Peter
2,1.3,0.91,4.3,4.5,2.9,6.2,6.2,3.87, Versicolor,Peter
2,1.1,0.77,3,3.2,2.5,5.1,5.1,3.023333333, Versicolor,Peter
2,1.3,0.91,4.1,4.3,2.8,5.7,5.7,3.636666667, Versicolor,Peter
3,2.5,1.75,6,6.2,3.3,6.3,6.3,4.75, Verginica,
3,1.9,1.33,5.1,5.3,2.7,5.8,5.8,4.143333333, Verginica,
3,2.1,1.47,5.9,6.1,3,7.1,7.1,4.89, Verginica,
3,1.8,1.26,5.6,5.8,2.9,6.3,6.3,4.453333333, Verginica,
3,2.2,1.54,5.8,6,3,6.5,6.5,4.68, Verginica,Jhon
3,2.1,1.47,6.6,6.8,3,7.6,7.6,5.29, Verginica,Jhon
3,1.7,1.19,4.5,4.7,2.5,4.9,4.9,3.596666667, Verginica,Jhon
3,1.8,1.26,6.3,6.5,2.9,7.3,7.3,5.02, Verginica,Jhon
3,1.8,1.26,5.8,6,2.5,6.7,6.7,4.653333333, Verginica,Jhon
3,0.1,0.07,20.5,20.7,0,8.7,8.7,9.823333333, Verginica,Jhon
3,2.5,1.75,6.1,6.3,3.6,7.2,7.2,5.083333333, Verginica,James
3,2,1.4,5.1,5.3,3.2,6.5,6.5,4.4, Verginica,James
3,1.9,1.33,5.3,5.5,2.7,6.4,6.4,4.41, Verginica,James
3,2.1,1.47,5.5,5.7,3,6.8,6.8,4.656666667, Verginica,James
3,2,1.4,5,5.2,2.5,5.7,5.7,4.1, Verginica,James
3,2.4,1.68,5.1,5.3,2.8,5.8,5.8,4.26, Verginica,James
3,2.3,1.61,5.3,5.5,3.2,6.4,6.4,4.503333333, Verginica,James
3,1.8,1.26,5.5,5.7,3,6.5,6.5,4.486666667, Verginica,James
3,2.2,1.54,6.7,6.9,3.8,7.7,7.7,5.38, Verginica,James
3,2.3,1.61,6.9,7.1,2.6,7.7,7.7,5.47, Verginica,James
3,1.5,1.05,5,5.2,3.4,6,6,4.083333333, Verginica,James
3,2.3,1.61,5.7,5.9,3.2,6.9,6.9,4.803333333, Verginica,James
3,2,1.4,4.9,5.1,2.8,5.6,5.6,4.033333333, Verginica,James
3,2,1.4,6.7,6.9,2.8,7.7,7.7,5.333333333, Verginica,James
3,0,0,0,0.2,0,0,0,0.066666667, Verginica,James
3,1.8,1.26,4.9,5.1,2.7,6.3,6.3,4.22, Verginica,Peter
3,2.1,1.47,5.7,5.9,3.3,6.7,6.7,4.69, Verginica,Peter
3,1.8,1.26,6,6.2,3.2,7.2,7.2,4.886666667, Verginica,Peter
3,1.8,-1,4.8,5,2.8,6.2,6.2,3.4, Verginica,Peter
3,1.8,1.26,4.9,5.1,3,6.1,6.1,4.153333333, Verginica,Peter
3,2.1,1.47,5.6,5.8,2.8,6.4,6.4,4.556666667, Verginica,Peter
3,1.6,1.12,5.8,6,3,7.2,7.2,4.773333333, Verginica,James
3,1.9,1.33,6.1,6.3,2.8,7.4,7.4,5.01, Verginica,James
3,, ,,0.2,,,,,,James
3,2,1.4,6.4,6.6,3.8,7.9,7.9,5.3, Verginica,James
3,2.2,1.54,5.6,5.8,2.8,6.4,6.4,4.58, Verginica,James
3,1.5,1.05,5.1,5.3,2.8,0.1,0.1,2.15, Verginica,James
3,1.4,0.98,5.6,5.8,2.6,6.1,6.1,4.293333333, Verginica,James
3,,34,6.1,6.3,3,7.7,7.7,5.203333333, Verginica,Peter
3,,34,5.6,5.8,3.4,6.3,6.3,4.593333333, Verginica,Peter
3,,1.26,5.5,5.7,3.1,6.4,6.4,4.453333333, Verginica,Peter
3,,1.26,4.8,5,3,6,6,4.086666667, Verginica,Peter
3,,1.47,10.4,10.6,3.1,6.9,6.9,6.323333333, Verginica,James
3,2.4,1.68,5.6,5.8,3.1,6.7,6.7,4.726666667, Verginica,James
3,2.3,1.61,5.1,5.3,3.1,6.9,6.9,4.603333333, Verginica,James
3,1.9,1.33,5.1,5.3,2.7,-5,-5,0.543333333, Verginica,James
3,2.3,1.61,5.9,6.1,3.2,6.8,,2.57, Verginica,James
3,2.5,1.75,5.7,5.9,3.3,6.7,,2.55, Verginica,
3,2.3,1.61,5.2,5.4,3,6.7,#¡VALOR!,2.336666667, Verginica,Peter
3,1.9,1.33,5,5.2,2.5,6.3,6.3,4.276666667, Verginica,Peter
3,2, ,5.2,5.4,3,6.5,6.5,#¡VALOR!, Verginica,Peter
3,2.3,1.61,5.4,5.6,3.4,6.2,6.2,4.47, Verginica,Peter
3,1.8,1.26,5.1,,3,5.9,5.9,2.386666667, Verginica,Peter
