fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,0
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,1
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,2
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,3
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,4
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,5
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,6
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,7
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,8
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,9
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,10
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,11
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,12
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,13
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,14
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,15
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,16
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,17
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,18
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,19
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,20
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,21
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,22
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,23
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,24
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,25
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,26
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,27
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,28
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,29
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,30
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,31
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,32
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,33
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,34
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,35
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,36
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,37
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,38
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,39
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,40
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,41
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,42
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,43
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,44
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,45
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,46
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,47
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,48
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,49
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,50
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,51
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,52
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,53
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,54
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,55
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,56
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,57
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,58
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,59
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,60
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,61
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5,62
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,63
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,64
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,65
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,66
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,67
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,68
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,69
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,70
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,71
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,72
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,73
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,74
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,75
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,76
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,77
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,78
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,79
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,80
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,81
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,82
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,83
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,84
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,85
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,86
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,87
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,88
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,89
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5,90
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,91
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,92
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,93
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,94
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,95
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,96
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,97
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,98
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,99
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5,100
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6,101
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6,102
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4,103
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,104
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,105
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,106
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,107
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,108
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5,109
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,110
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,111
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,112
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6,113
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5,114
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5,115
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,116
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5,117
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,118
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,119
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,120
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,121
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6,122
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,123
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,124
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6,125
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5,126
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,127
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,128
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5,129
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5,130
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5,131
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6,132
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5,133
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5,134
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5,135
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5,136
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6,137
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,138
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,139
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5,140
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6,141
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4,142
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7,143
7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6,144
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,145
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,146
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5,147
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6,148
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6,149
8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5,150
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6,151
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5,152
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5,153
8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5,154
7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5,155
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6,156
7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5,157
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5,158
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,159
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,160
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6,161
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7,162
8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6,163
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6,164
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,165
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,166
8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5,167
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,168
7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6,169
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,170
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,171
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,172
7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5,173
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,174
10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6,175
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,176
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5,177
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5,178
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5,179
9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5,180
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5,181
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5,182
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7,183
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5,184
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4,185
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,186
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5,187
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5,188
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4,189
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8,190
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,191
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,192
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,193
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,194
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,195
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,196
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,197
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,198
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6,199
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7,200
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,201
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,202
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,203
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6,204
7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6,205
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,206
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5,207
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,208
10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6,209
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6,210
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6,211
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5,212
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5,213
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5,214
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5,215
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6,216
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6,217
8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5,218
8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5,219
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5,220
10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6,221
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6,222
7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6,223
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6,224
8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5,225
7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5,226
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,227
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,228
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5,229
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,230
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,231
11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7,232
10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,233
13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6,234
8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5,235
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7,236
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7,237
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6,238
7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5,239
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7,240
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,241
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,242
11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6,243
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6,244
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,245
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6,246
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5,247
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5,248
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6,249
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6,250
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5,251
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7,252
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7,253
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6,254
8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5,255
8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,6,256
11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5,257
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5,258
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,259
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,260
10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,5,261
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,262
7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,6,263
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6,264
11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6,265
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,266
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6,267
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,268
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5,269
7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6,270
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8,271
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6,272
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5,273
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7,274
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,275
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,276
8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5,277
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,278
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6,279
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6,280
7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5,281
9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6,282
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7,283
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4,284
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6,285
7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5,286
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7,287
